symbol,name,exchange
357120.KS,코람코라이프인프라리츠,유가
332370.KQ,아이디피,코스닥
331920.KQ,셀레믹스,코스닥
950190.KQ,고스트스튜디오,코스닥
337930.KQ,젝시믹스,코스닥
060850.KQ,영림원소프트랩,코스닥
032300.KQ,한국파마,코스닥
348950.KS,제이알글로벌리츠,유가
357780.KQ,솔브레인,코스닥
357250.KS,미래에셋맵스리츠,유가
350520.KS,이지스레지던스리츠,유가
332570.KQ,PS일렉트로닉스,코스닥
101360.KQ,에코앤드림,코스닥
347890.KQ,엠엑스온,코스닥
298540.KQ,더네이쳐홀딩스,코스닥
225220.KQ,제놀루션,코스닥
304100.KQ,솔트룩스,코스닥
266470.KS,바이오인프라생명과학,코넥스
277880.KQ,티에스아이,코스닥
262260.KQ,에이프로,코스닥
334890.KS,이지스밸류플러스리츠,유가
950200.KQ,소마젠,코스닥
290520.KQ,신도기연,코스닥
330350.KQ,위더스제약,코스닥
326030.KS,에스케이바이오팜,유가
169330.KQ,엠브레인,코스닥
229000.KQ,젠큐릭스,코스닥
322970.KS,무진메디,코넥스
297890.KQ,HB솔루션,코스닥
351320.KQ,넥사다이내믹스,코스닥
298060.KQ,풍전약품,코스닥
353190.KQ,휴럼,코스닥
353810.KQ,이지바이오,코스닥
223250.KQ,드림씨아이에스,코스닥
353200.KS,대덕전자,유가
198080.KQ,캐프,코스닥
237820.KQ,플레이디,코스닥
092190.KQ,서울바이오시스,코스닥
204270.KQ,제이앤티씨,코스닥
274090.KQ,켄코아에어로스페이스,코스닥
294140.KQ,레몬,코스닥
294630.KQ,서남,코스닥
065370.KQ,위세아이텍,코스닥
344820.KS,케이씨씨글라스,유가
340440.KQ,세림B&G,코스닥
311690.KQ,CJ 바이오사이언스,코스닥
062970.KQ,한국첨단소재,코스닥
327260.KQ,RF머트리얼즈,코스닥
339950.KQ,아이비김영,코스닥
288330.KQ,파라택시스코리아,코스닥
340360.KQ,다보링크,코스닥
235980.KQ,메드팩토,코스닥
336570.KQ,원텍,코스닥
226330.KQ,신테카바이오,코스닥
322510.KQ,제이엘케이,코스닥
124560.KQ,태웅로직스,코스닥
335870.KQ,윙스풋,코스닥
317860.KS,노드메이슨,코넥스
302550.KQ,리메드,코스닥
338100.KS,NH프라임리츠,유가
336040.KS,타스컴,코넥스
250030.KS,진코스텍,코넥스
336060.KQ,웨이버스,코스닥
337840.KS,유엑스엔,코넥스
